DATE,DGS10,DGS2,ratio,ratio average,sinal
2019-04-23,2.57,2.36,0.9182879377431906,0.7981917954380212,1
2019-04-24,2.53,2.32,0.9169960474308301,0.7989292963048128,1
2019-04-25,2.54,2.33,0.9173228346456693,0.7996660696336786,1
2019-04-26,2.51,2.28,0.9083665338645418,0.8003793544255456,1
2019-04-29,2.54,2.3,0.905511811023622,0.8011034215258537,1
2019-04-30,2.51,2.27,0.904382470119522,0.8017942825359619,1
2019-05-01,2.52,2.31,0.9166666666666666,0.8025289034229433,1
2019-05-02,2.55,2.35,0.9215686274509804,0.8032628703721684,1
2019-05-03,2.54,2.33,0.9173228346456693,0.8039816362131335,1
2019-05-06,2.51,2.31,0.9203187250996017,0.8047036295955361,1
2019-05-07,2.45,2.28,0.930612244897959,0.8054462100175354,1
2019-05-08,2.49,2.3,0.9236947791164657,0.8061806288644713,1
2019-05-09,2.45,2.26,0.9224489795918366,0.8068932954186961,1
2019-05-10,2.47,2.26,0.9149797570850201,0.8076029229826588,1
2019-05-13,2.4,2.18,0.9083333333333334,0.8082898825363547,1
2019-05-14,2.42,2.2,0.9090909090909092,0.8090007682171975,1
2019-05-15,2.37,2.16,0.9113924050632911,0.8097038949076659,1
2019-05-16,2.4,2.2,0.9166666666666667,0.8104299321036602,1
2019-05-17,2.39,2.2,0.9205020920502093,0.8111358011526256,1
2019-05-20,2.41,2.21,0.91701244813278,0.8118308125959763,1
2019-05-21,2.43,2.26,0.9300411522633744,0.8125429128377227,1
2019-05-22,2.39,2.23,0.9330543933054393,0.813262354957667,1
2019-05-23,2.31,2.12,0.9177489177489178,0.8139537479896714,1
2019-05-24,2.32,2.16,0.9310344827586208,0.8146742240348347,1
2019-05-28,2.26,2.12,0.9380530973451329,0.8153947746739694,1
2019-05-29,2.25,2.09,0.9288888888888889,0.8160969968961915,1
2019-05-30,2.22,2.06,0.9279279279279279,0.8167944817113234,1
2019-05-31,2.14,1.95,0.911214953271028,0.8174585405771414,1
2019-06-03,2.07,1.82,0.8792270531400967,0.8180586236426978,1
2019-06-04,2.12,1.88,0.8867924528301886,0.8186415108739394,1
2019-06-05,2.12,1.83,0.8632075471698113,0.8191569167939672,1
2019-06-06,2.12,1.88,0.8867924528301886,0.8197155484285995,1
2019-06-07,2.09,1.85,0.8851674641148326,0.8202748741825172,1
2019-06-10,2.15,1.9,0.8837209302325582,0.8208277041708363,1
2019-06-11,2.15,1.93,0.8976744186046511,0.8214013335510321,1
2019-06-12,2.13,1.88,0.8826291079812206,0.8219448723099809,1
2019-06-13,2.1,1.83,0.8714285714285714,0.8224388606745575,1
2019-06-14,2.09,1.84,0.8803827751196174,0.8229438122713083,1
2019-06-17,2.09,1.86,0.8899521531100479,0.8234737165775284,1
2019-06-18,2.06,1.86,0.9029126213592233,0.8240573195980248,1
